,BR1,BR2,BR3,BR4,BR5,AR1,AR2,AR3,AR4,AR5,R1,BR6,BR7,BR8,BR9,BR10,AR6,AR7,AR8,AR9,AR10,R2,BR11,BR12,BR13,BR14,BR15,AR11,AR12,AR13,AR14,AR15,R3
887,0.25724327376733563,0.24751248482194044,0.2429642603078935,0.24228718303754262,0.2612543208340139,0.25211221851531296,0.25567255425949126,0.24011322808984925,0.2457945053216671,0.24697554751060594,0.22096904828694197,0.45267541048709264,0.39696302093397706,0.38110227037113364,0.3896030640092284,0.40830597589236217,0.3925703524689078,0.414460060658403,0.38538158284805274,0.426310764655075,0.3856758946754873,0.41293135096268946,0.5640856836075187,0.5873196450979217,0.5638436566621375,0.5607314785281734,0.59926704639646,0.556432528874032,0.5727806459752647,0.5780225894588992,0.5671101178666447,0.6005146535973637,0.5050931407766515
888,0.2570533484626674,0.244944518099925,0.24536984704361522,0.24050091227967124,0.26053315115727793,0.25582798059233874,0.25357001919886946,0.24128844011893033,0.24742741320132727,0.24514733013334034,0.22442011527455155,0.4445622386782228,0.4039714394658781,0.383345837917721,0.39328529954524,0.40540279757699255,0.3935108284580527,0.42222003183717854,0.3911041336406632,0.428154311338342,0.388235198073507,0.42310633144973514,0.5674607018949992,0.5826006198759346,0.5616356134238785,0.5650136384261181,0.6004105766824946,0.5575430559799781,0.566888664897121,0.5863814739736574,0.5746173354738124,0.5917611336926237,0.5190846405211571
889,0.2566312922300712,0.24248629354551723,0.24850570118125245,0.23923115354817232,0.25919686616803195,0.25985712019393303,0.2517893007291591,0.24257246807663008,0.24958368899113492,0.24444097341939686,0.2277452309122484,0.4343515151334011,0.41059265255402777,0.3865020431103775,0.39805717620925507,0.40212741691349874,0.39484316944267467,0.4299800030159542,0.39758463818063944,0.4275899603128522,0.3927603432120346,0.43363488268729583,0.5716365719795086,0.5765170572403608,0.5597106526520627,0.5717840804269226,0.600124694110986,0.5626865499443598,0.5624267763136724,0.5919922320726048,0.5847033682895489,0.5807467708985801,0.5415376663016256
890,0.2559137966346578,0.24044508922801783,0.251448249241912,0.2383918215053171,0.25815753339861847,0.2641324849934025,0.2502231266533898,0.24490112894906857,0.2515306176168836,0.242405004067442,0.23353899300823522,0.42623834332453125,0.41682666019842596,0.3913314173208279,0.4028290528732702,0.39810763155375617,0.39695924041825076,0.43754597491526037,0.40501258490482256,0.4255959200227878,0.39765640188650697,0.44267057964490397,0.575297608765928,0.5725940121762991,0.5563702795480296,0.580522001299756,0.5984665751962357,0.5695250589651856,0.5607678690198263,0.5955991479933567,0.5914082878318283,0.5728048356207694,0.5750506394991793
891,0.25509078698109544,0.23862336924573344,0.25344574537068093,0.2374448827903009,0.2567151940451466,0.2677363265259396,0.24803477383519162,0.2473386057501257,0.2530588519145142,0.24107539142943066,0.24003808266373353,0.4155922788533799,0.42437716635157896,0.39635092437420943,0.4066615837372823,0.39483225089026236,0.40173999336307076,0.4426675558932522,0.41111411257111563,0.42337613932252754,0.40288628274332977,0.4509205638235896,0.5800455158483155,0.5662261709128947,0.556087197081586,0.588739118941758,0.5934350419376831,0.5795198029187003,0.5573928507323459,0.5986907902111438,0.5953624711516342,0.5637614640635547,0.6186241672749253
892,0.25487975886479736,0.237021133598664,0.25574393984141514,0.2364979440752848,0.25503953509037786,0.27134016805847677,0.2456104221836583,0.2509512945802639,0.2539799794363738,0.24007818195092215,0.2485272036478534,0.40633139005691377,0.4300303658303501,0.40247320191659136,0.4118091987212984,0.3928595784452035,0.40804901979025127,0.44588794393244413,0.417746207860565,0.42006527997298676,0.4063357786276172,0.45759912244443024,0.5873103857213664,0.5645773548714775,0.5547284012426573,0.59834504519931,0.5870312723358891,0.5900990348227129,0.5573928507323459,0.6023549587655584,0.5983997423972821,0.5566890837431686,0.6657955092706871
893,0.25416226326938396,0.2360554025237181,0.2590945785090275,0.2362827307309629,0.2532790326442283,0.27494400959101384,0.24331479716848958,0.2544551674817835,0.25540354015197503,0.23895632128760008,0.25885521434069947,0.3993659352356402,0.4357222858534963,0.40802508093018003,0.4165810753853135,0.3906635845912701,0.4126338402373327,0.44759513759177466,0.4235066563405438,0.4138197952908984,0.4090434474400148,0.4620383996453421,0.592058292803754,0.561222867063077,0.5552945661755443,0.6051154872001143,0.5808562087913021,0.5986325588999826,0.5601958320219481,0.6014961692606176,0.600118952536328,0.5538485375489153,0.7136331131590442
894,0.25281168332507636,0.2363846290265406,0.2616290359627343,0.23671315741960666,0.2519427476549823,0.27843593057906224,0.24131953430483824,0.25743672392593375,0.25529886656994555,0.2377305846369333,0.2709213536623417,0.3922025981751257,0.44137548533226734,0.4139952521982172,0.4198875726013239,0.3875743051018384,0.4195306641577288,0.44720713903283593,0.42703114126579406,0.4096059743005738,0.4101561880478495,0.4641205385094866,0.5950900888925076,0.5567881204689203,0.5566533620144731,0.6102077854571298,0.573594791474982,0.6083350588782485,0.5627127948126115,0.5967442006666112,0.5964513042396966,0.5515876946596117,0.7552744814462632
895,0.2519886736715139,0.23691139143105655,0.2629821785015778,0.23703597743608945,0.2503943539372846,0.28085341434001876,0.23964608803209847,0.260091832584228,0.25540354015197503,0.2365256231837356,0.28296230271400136,0.3862265545500557,0.44609939174603486,0.41901475925159876,0.4222547240173314,0.3850433291345932,0.42662342057586344,0.44476274811152167,0.4299871608805199,0.40279613859299557,0.4110463805341172,0.46337411136951034,0.5978930701821098,0.5559352845854287,0.5582952403198452,0.6138534080729477,0.5710790248457057,0.6166347877753189,0.5674607018949992,0.5897593793597584,0.5908925247901144,0.5535586858964404,0.7871217999123284
896,0.2506591965388361,0.238206349008825,0.2645501055703963,0.23755248946246188,0.24863385149113507,0.2832485139920777,0.23807991395632913,0.2633998368142342,0.25529886656994555,0.23600624324701241,0.29638871661470134,0.38195229818245596,0.44780309569854126,0.42346386777618694,0.42390797262533664,0.38340563880284617,0.4323446495098283,0.4400291656924685,0.43017664931736127,0.3980179665771811,0.4110463805341172,0.4605062597264433,0.5978930701821098,0.554002189916181,0.561918695890322,0.6118859292009189,0.5660474915871532,0.6174530709060161,0.5758124420640182,0.5805417053400592,0.5836145352014863,0.5615006211742508,0.8086420590431631
